Trilocale via Baldo degli Ubaldi, Roma	Roma	379.000 €	http://www.kijiji.it/annunci/vendita/roma-annunci-roma/trilocale-via-baldo-degli-ubaldi-roma/87840465	Rif: T309B - BALDO DEGLI UBALDI, adiacente Metro Valle Aurelia.
 Proponiamo in palazzina in cortina di sette piani la vendita di un appartamento composto da salone, cucina, due camere, servizio con finestra e tre balconi.
 Completano la proprietà una cantina e un ampio box auto singolo dove è possibile parcheggiare un auto ed una moto.
 Classe Energetica: G. Rif.T309 € 379.000 tratt.
 Siamo a disposizione per fornirVi maggiori informazioni e per fissare un sopralluogo sull'immobile in...
