Attico Via della Bufalotta presso Piazza Monte Gennaro	Montesacro / Talenti / Prati Fiscali	440.000 €	http://www.kijiji.it/annunci/vendita/roma-annunci-montesacro-talenti-prati-fiscali/attico-via-della-bufalotta-presso-piazza-monte-gennaro/84382534	Attico in Via della Bufalotta, adiac. Piazza Monte Genaro. 110mq + 40 mq di terraza. 
Ingresso, salone, cucina abittabile, 2 camere, cameretta, ripostiglio, banho, terrazza

Riscaldamento centralizzato
infissi a doppio vetro nuovi
cucina verandata 
4 piano con ascensore

Ben collegato con i mezzi. 
