Bilocale via Vezio Crisafulli, Roma	Roma	290.000 €	http://www.kijiji.it/annunci/vendita/roma-annunci-roma/bilocale-via-vezio-crisafulli-roma/87844581	Rif: Val Cannuta - BOCCEA - VALCANNUTA 
 
 Nel complesso condominiale "Papillo", proponiamo in vendita, appartamento al piano secondo con ampi affacci luminosi su giardini condominiali, in ottimo stato interno rifinitissimo e parzialmente arredato.
 L'appartamento è composto da : Soggiorno con angolo cottura, camera, servizio, ampio balcone, soffitta, box auto.
 Prezzo richiesto € 290.000,00 valutiamo permute anche su Fiumicino, Fregene e Maccarese.
 
 Per informazioni contattare i numeri...
