Trilocale via Ascanio Rivaldi, Roma	Roma	390.000 €	http://www.kijiji.it/annunci/vendita/roma-annunci-roma/trilocale-via-ascanio-rivaldi-roma/87844572	Rif: Monteverde - Gianicolo - AFFILIATO GRIMALDI AURELIO-GREGORIO VII PROPONE IN VENDITA 
 
 Monteverde ad. Via di Valtellina - Ramazzini
 
 Appartamento in stabile recentemente ristrutturato, piano alto servito da ascensore,luminoso in contesto tranquillo, con doppi affacci, di ampia metratura interna ben diviso nei vani.
 
 L'appartamento è composto da: salone, disimpegno con armadio a muro, due camere, doppi servizi di cui uno in camera, cucina abitabile, balcone angolare perimetrale....
