Trilocale via Tacito, Roma	Roma	690.000 €	http://www.kijiji.it/annunci/vendita/roma-annunci-roma/trilocale-via-tacito-roma/87844582	Affiliato grimaldi aurelio-gregorio vii propone in vendita zona roma centro -prati 
 
 in palazzo d'epoca recentemente restaurato con servizio di portineria fornito di ascensore, con affacci luminosi e gradevoli su piazza cola di rienzo, nelle immediate vicinanze di lungotevere mellini e piazza del popolo, proponiamo in vendita luminoso secondo piano con doppia esposizione.
 l'immobile da ristrutturare è composto da: ampio ingresso con armadio a muro, salone , due camere matrimoniali, cucina...
