Appartamento via dei Portoghesi, Roma	Roma	4.500.000 €	http://www.kijiji.it/annunci/vendita/roma-annunci-roma/appartamento-via-dei-portoghesi-roma/87846770	All'interno dello storico Palazzo Frangipane, proponiamo in vendita il più grande e prestigioso appartamento, posto al piano nobile con terrazza panoramica. L'edificio è a soli 100 metri dal fiume (Lungotevere), internamente ed esternamente ristrutturato con un nuovo ascensore.
 L'immobile è di 600 mq, dispone di 3 ingressi, enormi saloni e salotti, soffitti in legno di 6/7 metri di altezza. La terrazza è dominante, ha una forma triangolare con la dimensione di circa 80 mq. Presente cantina...
