Appartamento via Canino, Roma	Roma	820.000 €	http://www.kijiji.it/annunci/vendita/roma-annunci-roma/appartamento-via-canino-roma/87840475	Rif: T603B - CORSO FRANCIA, FLEMING - Via Canino.
 ATTICO esclusivo, unico al piano, quadrupla esposizione con terrazzo di 140 mq perimetrale. Internamente l'immobile è composto da ampio ingresso, salone doppio, cucina abitabile, tre camere da letto, studio, doppi servizi, lavanderia, ampio corridoio.
 Completano la proprietà una cantina, un box auto ed un posto auto scoperto.
 Classe Energetica: G. Rif.T603 € 820.000.
 Siamo a disposizione per fornirVi maggiori informazioni e per fissare...
