CASILINA/FINOCCHIO AD.ZE METRO Bilivelli nuovi con Box	Prenestino / Casilino	174.000 €	http://www.kijiji.it/annunci/vendita/roma-annunci-prenestino-casilino/casilina-finocchio-ad-ze-metro-bilivelli-nuovi-con-box/87826243	CASILINA/PANTANO
Nelle immediate vicinanze del capolinea metro C, vendiamo appartamenti bilivelli di nuova costruzione di 90 mq; 
Internamente sono composti da un soggiorno, angolo cottura, camera, due camerette, doppi servizi, balcone e terrazzo. 
Completa la proprietà un box per auto.
Vicinissimi a tutti i servizi commerciali/scuole/trasporti
Ultime disponibilità!
A.P.E. F
