APPIA ANTICA vicinanze 280mq nel verde	San Giovanni / Appio Latino / Ardeatino	950.000 €	http://www.kijiji.it/annunci/vendita/roma-annunci-san-giovanni-appio-latino-ardeatino/appia-antica-vixcinanze-280mq-nel-verde/80326977	APPIA ANTICA VICINANZE, splendido appartamento ristrutturato finemente con annesso giardino
Nei pressi del parco dell'appia antica, ma inserito in contesto multi servito, elegante appartamento rifinito con materiali di assoluto pregio e valore di circa 280 mq.
Grande salone doppio, grande cucina abitabile e servizi al pianoterra, plus ala servitù.
Al piano notte 3 grandi camere, doppi servizi con vasca idromassaggio, terrazzo e vano tecnico.
Al piano seminterrato è stata ricavata...
