Trilocale via Barberini, Roma	Roma	750.000 €	http://www.kijiji.it/annunci/vendita/roma-annunci-roma/trilocale-via-barberini-roma/87835644	Rif: 1528068 - Vi proponiamo l'acquisto di un appartamento di 90 mq circa, posto al 2° piano con balcone, all'interno di un edificio d'epoca del 1500 di tre piani con ascensore.
 L'immobile è ristrutturato ed è composto da: soggiorno, 3 camere da letto matrimoniali, cucina semiabitabile (tavola per 2 persone), bagno.
 Spese condominiali: Euro 83,00 circa / mese
