Panoramicissimo silenzioso 3 piano ristrutturato	Cassia / Olgiata / Castel di Guido / Vergine Santa	228.000 €	http://www.kijiji.it/annunci/vendita/roma-annunci-cassia-olgiata-castel-di-guido-vergine-santa/panoramicissimo-silenzioso-3-piano-ristrutturato/87827268	Cassia la storta - panoramicissimo silenzioso terzo ed ultimo piano con ascensore in posizione centrale (fronte cassia) adicente centri commerciali, fermate bus e metro, scuole. possibilita di parcheggio.
ampie camere, cucina abitabile, servizi e balconi.
85 mq. - ristrutturato â€" termoautonomo â€" cl.en. g
€ 228.000 (no agenzie) cell. 333 775.2700 
