Pigneto due appartamenti nuova costruzione 200m Metro Malatesta	San Lorenzo / Pigneto / Centocelle	230.000 €	http://www.kijiji.it/annunci/vendita/roma-annunci-san-lorenzo-pigneto-centocelle/pigneto-due-appartamenti-nuova-costruzione-200m-metro/87715321	Pigneto â€" via Pavoni (200 mt Metro Malatesta)
Privato vende, in palazzina anni 30, due appartamenti (63 e 73 mq) piano terra nuova costruzione, ottime rifiniture, aria condizionata, pavimento gres porcellanato, placche bticino, bagno con mosaico, grate sicurezza, due soppalchi, soffitti 4 m, predisposizione allarme, affaccio camere da letto in cortile interno.

NO spese condominio No spese agenzia

349 5587672/ 338 3365899
