AFFARONE: vendo attico/mansarda ad Acilia - Roma	Acilia / Axa / Casal Palocco	220.000 €	http://www.kijiji.it/annunci/vendita/roma-annunci-acilia-axa-casal-palocco/affarone-vendo-attico-mansarda-ad-acilia-roma/68662815	Privato vende appartamento con vista panoramica leggermente 
mansardato (la parte più bassa del tetto è 190 cm) composto 
da cucina abitabile arredata e comprensiva di elettrodomestici
nuovi, salottino/angolo studio, bagno di servizio con doccia 
(cabina in cristallo) e lavatrice nuova, corridoio arredato 
con armadi/ripostiglio, cameretta con armadi a muro, camera 
padronale con armadi a muro comò e comodini con bagno padronale
in camera con vasca idromassaggio a 3 posti, balcone...
