Giardinetti: villa a schiera adiacente Università Tor Vergata	Prenestino / Casilino	259.000 €	http://www.kijiji.it/annunci/vendita/roma-annunci-prenestino-casilino/giardinetti-villa-a-schiera-adiacente-universita-tor/87874928	Adiacente Università Villa a schiera centrale:
P.t.:ampio salone,cucina,bagno,2 corti annesse;
P.s.:sala hobby,2 camere,bagno e ripostiglio;
P.1;camera,bagno e terrazzo. 
Inclusa nella vendita il posto auto di proprietà.
RISERVATO E IN OTTIMO STATO
