Trilocale a due passi da San Pietro	Prati / Giustiniana / Vigna Clara	480.000 €	http://www.kijiji.it/annunci/vendita/roma-annunci-prati-giustiniana-vigna-clara/trilocale-a-due-passi-da-san-pietro/87056240	In palazzo in cortina , a due passi dalle mura Vaticane , proponiamo in vendita luminoso trilocale . 
Composto da : tre ampi vani , cucina abitabile , doppi servizi e balcone vivibile . 
Doppia esposizione . 
Zona ben servita .
