Attico / Mansarda via Castelrosso, Roma	Roma	450.000 €	http://www.kijiji.it/annunci/vendita/roma-annunci-roma/attico-mansarda-via-castelrosso-roma/87883853	Rif: 2424 - EUR adiacenza Via Val Fiorita, in palazzo in cortina di 6 piani con ascensore e servizio di portineria vi proponiamo un attico di 125 mq composto da : due ingressi salone tre camere cucina abitabile due bagni e due balconi.
 L'appartamento ha doppia esposizione, sia interna che esterna, molto luminosa.
 L'immobile si colloca in una zona ben fornita di qualsiasi mezzo pubblico, ottimamente collegato con il centro di Roma.
 La classe energetica di appartenenza è la G.
 Prezzo di...
