Appartamento 65mq con Giardino zona Lunghezza	Prenestino / Casilino	79.000 €	http://www.kijiji.it/annunci/vendita/roma-annunci-prenestino-casilino/appartamento-65mq-con-giardino-zona-lunghezza/87875909	ZONA ROMA EST LUNGHEZZA
APPARTAMENTO 2 LOCALI CON GIARDINO

Composto da:
Salone con Angolo Cottura, 1 Camera Matrimoniale, Ripostiglio, Disimpegno, Bagno e Giardino Privato di 30Mq.

79.000,00 Euro

2.500,00 Euro alla prenotazione e possibilità di pagamenti dilazionati e personalizzati.

Ottima esposizione, luminosissimo, situato nella zona di Lunghezza a pochi passi dal capolinea ell' Atac.


Lâ€(TM)immobile è ubicato in Zona Lunghezza, VI Municipio, a 7,5 km dallâ€(TM)Uscita 16 del...
