Trilocale da privato, vicino al parco, ristrutturato, 75 mq 	Nomentano / Bologna	369.000 €	http://www.kijiji.it/annunci/vendita/roma-annunci-nomentano-bologna/trilocale-da-privato-vicino-al-parco-ristrutturato-75-mq/87828526	PRIVATO vende trilocale a 300 metri dal parco di Villa Borghese con parcheggio facile e gratuito per i residenti, completamente ristrutturato, silenzioso affaccio sul grande giardino condominiale pavimentato.
Ingresso con portone blindato, ampio soggiorno divisibile con angolo cottura (possibilità terza camera), due camere da letto, bagno con doccia e soppalco (possibilità vasca), corridoio con armadi a muro, soppalco lungo il corridoio accessibile da una delle due camere da letto.
Pavimento...
