Trilocale in Via Principe Eugenio totalmente ristrutturato	Centro Storico	395.000 €	http://www.kijiji.it/annunci/vendita/roma-annunci-centro-storico/trilocale-in-via-principe-eugenio-totalmente-ristrutturato/66396632	* NO AGENZIE IMMOBILIARI *
PRIVATO vende in zona Esquilino/Vittorio Emanuele Via Principe Eugenio, appartamento luminoso e silenzioso in palazzo signorile composto da ingresso, 1 ampia camera da letto, 1 cameretta, cucina, bagno, soggiorno, recentemente ristrutturato, termoautonomo e completamente arredato in ottimo stato. 
Servizi pubblici davanti il palazzo, metro a 100 mt circa fermata Vittorio Emanuele.
* NO AGENZIE IMMOBILIARI *
