Attico / Mansarda viale Dei quattro venti, Roma	Roma	920.000 €	http://www.kijiji.it/annunci/vendita/roma-annunci-roma/attico-mansarda-viale-dei-quattro-venti-roma/87883836	Rif: 2394 - MONTEVERDE VECCHIO adiacenze Piazza Francesco Cucchi in palazzo in buono stato con facciata in intonaco con ascensore e servizio portineria vi proponiamo uno splendido attico di mq 130 composto da: ingresso ampio salone con doppia finestra e camino cucina abitabile due camere matrimoniali ed una cameretta doppi servizi un ripostiglio un ampio terrazzo di 40 mq con un ripostiglio esterno ed una lavanderia e un balconcino.
 L'immobile è stato ristrutturato 4 anni fa, quindi è in...
