Quadrilocale via Carlo Pascal, Roma	Roma	249.000 €	http://www.kijiji.it/annunci/vendita/roma-annunci-roma/quadrilocale-via-carlo-pascal-roma/87885405	Rif: BALDO DEGLI UBALDI - BALDO DEGLI UBALDI
 
 Signorile palazzo in cortina, luminoso piano terra di 75 mq circa, con 60 mq circa di terrazzo, composto da ingresso, ampio salone, cucina semiabitabile, corridoio con vano ripostiglio/armadio, bagno con vasca e ampia camera da letto con parquet. 
 Possibilità seconda camera e posto auto. 
 
 € 249000,00 Trattabili.
